discount,final price
7.5,2460.9438
7.5,598.142
12.5,2858.625
7.5,1516.0564
2.5,578.175
3.5,779.2954
5.0,34.922
7.5,247.21552
7.5,320.013
2.5,1366.7355
3.5,2267.75
11.0,1036.672
0.0,47.85
0.0,64.88
3.5,2185.918
8.5,1241.3805
5.0,2188.002
5.0,533.691
2.5,879.13794
11.0,634.48987
2.5,487.2465
5.0,235.144
2.5,586.014
15.0,3575.219
8.5,1394.6796
7.5,3604.0127
2.5,199.20224
0.0,289.08
3.5,548.6411
5.0,157.7
6.0,2998.1113
3.5,531.78253
3.5,1168.036
3.5,565.7795
12.5,613.2
0.0,457.56
5.0,384.1325
7.5,3140.8835
0.0,189.55
5.0,23.398499
11.0,2859.9438
6.0,2414.4653
11.0,933.8681
6.0,1086.828
12.5,901.6875
5.0,21.071001
2.5,773.6917
3.5,923.505
6.0,2259.0457
10.0,560.43
7.5,3885.1755
7.5,1640.5245
5.0,1168.7375
5.0,912.0
6.0,2655.2932
12.5,1657.5563
2.5,94.77
11.0,1161.1475
5.0,79.286995
2.5,1289.574
5.0,5.51
7.5,502.682
7.5,1132.2185
6.0,2669.299
0.0,974.35
5.0,1216.8169
15.0,1942.352
8.5,57.462
7.5,641.57996
5.0,204.592
5.0,868.984
3.5,2538.5288
8.5,1127.0055
5.0,2630.9966
0.0,686.46
0.0,873.24
5.0,151.75299
5.0,3003.064
3.5,1969.4397
15.0,1976.7601
3.5,195.23882
7.5,394.05
6.0,50.0832
3.5,2096.2695
5.0,1326.2759
7.5,490.80505
5.0,1672.5509
5.0,468.16
8.5,1881.2035
0.0,434.58
3.5,2438.6226
7.5,718.4475
10.0,686.664
7.5,2463.756
8.5,1625.7719
5.0,59.451
7.5,2921.3813
0.0,311.73
0.0,517.80005
2.5,36.777
0.0,561.9
6.0,1192.014
0.0,531.12
3.5,1193.4734
6.0,1826.2789
6.0,1263.0592
5.0,445.36
7.5,762.2
7.5,240.22247
12.5,2849.175
7.5,2663.8523
11.0,1524.2052
5.0,48.127003
5.0,2257.8079
3.5,1843.4009
2.5,210.95099
5.0,390.792
11.0,1423.8577
6.0,1889.0897
2.5,1144.3478
2.5,47.901752
8.5,2167.7266
5.0,1028.5554
8.5,1087.6605
2.5,120.86099
2.5,130.572
7.5,1617.7141
5.0,116.7075
2.5,44.577003
2.5,841.386
7.5,1669.662
3.5,1534.6299
3.5,2013.1346
3.5,2577.4763
15.0,1459.1611
2.5,407.7255
11.0,2236.6946
11.0,2212.5222
5.0,349.77097
0.0,148.21
5.0,2108.0024
5.0,182.59949
5.0,529.264
0.0,153.31
5.0,246.696
10.0,2862.0
3.5,2279.6196
5.0,757.606
2.5,659.41205
6.0,1019.5145
6.0,2405.2905
5.0,3073.6682
5.0,10.9155
11.0,458.4034
0.0,330.09
2.5,132.19049
6.0,1934.9712
5.0,1642.55
15.0,1654.6696
11.0,378.08975
11.0,2444.7588
0.0,521.82
3.5,50.20895
5.0,67.3075
2.5,49.0425
15.0,327.624
2.5,924.651
2.5,1269.3916
5.0,31.692
5.0,2615.008
5.0,1336.1179
0.0,123.8
2.5,746.30396
3.5,2066.837
0.0,416.8
0.0,164.04
0.0,572.52
11.0,1747.0167
15.0,63.1465
2.5,167.66101
0.0,827.0
8.5,958.188
7.5,1615.5125
7.5,1429.5413
6.0,3158.137
2.5,739.4888
8.5,561.261
5.0,72.998
6.0,1121.6079
11.0,1177.1497
11.0,1877.9178
7.5,1617.3901
15.0,3396.617
0.0,129.03
3.5,601.4459
5.0,1394.4194
7.5,2766.9524
7.5,198.024
5.0,697.73706
11.0,36.223
11.0,1864.4077
0.0,399.72
5.0,67.1745
2.5,129.597
8.5,860.5575
3.5,2333.949
7.5,1080.4185
